Date,Open,High,Low,Close,Volume,Adj Close
12/9/2015,117.639999,117.690002,115.080002,115.620003,46361400,113.103541
12/8/2015,117.519997,118.599998,116.860001,118.230003,34309500,115.656735
12/7/2015,118.980003,119.860001,117.809998,118.279999,32084200,115.705642
12/4/2015,115.290001,119.25,115.110001,119.029999,57777000,116.439319
12/3/2015,116.550003,116.790001,114.220001,115.199997,41569500,112.692677
12/2/2015,117.339996,118.110001,116.080002,116.279999,33386600,113.749172
12/1/2015,118.75,118.809998,116.860001,117.339996,34852400,114.786099
11/30/2015,117.989998,119.410004,117.75,118.300003,39180300,115.725211
11/27/2015,118.290001,118.410004,117.599998,117.809998,13046400,115.245871
11/25/2015,119.209999,119.230003,117.919998,118.029999,21388300,115.461084
11/24/2015,117.330002,119.349998,117.120003,118.879997,42803200,116.292582
11/23/2015,119.269997,119.730003,117.339996,117.75,32482500,115.187179
11/20/2015,119.199997,119.919998,118.849998,119.300003,34287100,116.703446
11/19/2015,117.639999,119.75,116.760002,118.779999,43295800,116.19476
11/18/2015,115.760002,117.489998,115.5,117.290001,46674700,114.737192
11/17/2015,114.919998,115.050003,113.32,113.690002,27616900,111.215547
11/16/2015,111.379997,114.239998,111,114.18,38106700,111.69488
11/13/2015,115.199997,115.57,112.269997,112.339996,45812400,109.894924
11/12/2015,116.260002,116.82,115.650002,115.720001,32525600,113.201363
11/11/2015,116.370003,117.419998,115.209999,116.110001,45218000,113.582874
11/10/2015,116.900002,118.07,116.059998,116.769997,59127900,114.228505
11/9/2015,120.959999,121.809998,120.050003,120.57,33871400,117.945802
11/6/2015,121.110001,121.809998,120.620003,121.059998,33042300,118.425135
11/5/2015,121.849998,122.690002,120.18,120.919998,39552700,118.288182
11/4/2015,123.129997,123.82,121.620003,122,44886100,118.835996
11/3/2015,120.790001,123.489998,120.699997,122.57,45519000,119.391213
11/2/2015,120.800003,121.360001,119.610001,121.18,32203300,118.037263
10/30/2015,120.989998,121.220001,119.449997,119.5,49365300,116.400832
10/29/2015,118.699997,120.690002,118.269997,120.529999,51227300,117.404119
10/28/2015,116.93,119.300003,116.059998,119.269997,85551400,116.176794
10/27/2015,115.400002,116.540001,113.989998,114.550003,69884400,111.579211
10/26/2015,118.080002,118.129997,114.919998,115.279999,66333800,112.290275
